Zip Code,Property,,,,,,,,,,,,,,,
22767,P01_0006_0006,P01_0010_0001,P01_0016_0054,P01_0016_P009,O01_0006_0006,O01_0010_0001,O01_0016_0054,O01_0016_P009,,,,,,,,
22769,FIBU_B04_UNIT,FIBU_B05_UNIT,P01_0023_0008,P01_0023_P034,O01_0023_0008,O01_0023_P034,,,,,,,,,,
22851,B04_0074_0014,B05_0074_0014,,,,,,,,,,,,,,
22869,B04_0086_0010,B05_0086_0010,,,,,,,,,,,,,,
22880,B04_0075_0009,B04_0104_0002,B04_0176_0017,B05_0075_0009,B05_0104_0002,B05_0176_0017,,,,,,,,,,
22885,B04_0098_0003,B05_0098_0003,,,,,,,,,,,,,,
22926,B04_0171_0003,B05_0171_0003,,,,,,,,,,,,,,
25335,B04_0118_0003,B05_0118_0003,,,,,,,,,,,,,,
25421,B04_0087_0003,B04_0181_0541,B05_0087_0003,B05_0181_0541,,,,,,,,,,,,
25451,B04_0080_0003,B05_0080_0003,,,,,,,,,,,,,,
25469,B04_0155_0036,B05_0155_0036,,,,,,,,,,,,,,
28018,IT1_0001_003B,IT1_0005_003A,IT1_0007_04IZ,IT1_0009_001A,IT1_0010_001A,IT1_0015_004E,IT1_0018_3.2I,,,,,,,,,
28019,IT1_0002_003C,IT1_0011_02.1,IT1_0014_003B,IT1_0021_2DER,,,,,,,,,,,,
28025,IT1_0006_001B,IT1_0012_004I,IT1_0013_04.3,IT1_0016_001B,IT1_0017_001D,,,,,,,,,,,
28026,IT1_0008_004A,IT1_0019_004A,,,,,,,,,,,,,,
28031,IT1_0003_002A,,,,,,,,,,,,,,,
28053,IT1_0004_3DCH,IT1_0020_005B,IT1_0022_0022,,,,,,,,,,,,,
30167,B04_0154_0004,B04_0157_0004,B04_0174_0001,B05_0154_0004,B05_0157_0004,B05_0174_0001,,,,,,,,,,
30449,B04_0150_0002,B05_0150_0002,,,,,,,,,,,,,,
30451,B04_0128_0055,B05_0128_0055,,,,,,,,,,,,,,
30455,B04_0180_0074,B05_0180_0074,,,,,,,,,,,,,,
30519,B04_0146_0005,B04_0146_0006,B04_0146_0007,B05_0146_0005,B05_0146_0006,B05_0146_0007,,,,,,,,,,
30539,B04_0152_0002,B04_0156_0017,B05_0152_0002,B05_0156_0017,,,,,,,,,,,,
30559,B04_0179_0041,B05_0179_0041,,,,,,,,,,,,,,
30627,B04_0143_0003,B05_0143_0003,,,,,,,,,,,,,,
30629,B04_0153_0001,B05_0153_0001,,,,,,,,,,,,,,
30655,B04_0137_0046,B04_0166_0007,B05_0137_0046,B05_0166_0007,,,,,,,,,,,,
