Zip Code multiple,Property,Int ID,Zip Code
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Administrative costs,1581,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Distribution costs,1582,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Distribution costs,1582,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Distribution costs,1582,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Distribution costs,1582,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Distribution costs,1582,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Interest + similar expenses,1583,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Interest + similar expenses,1583,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Interest + similar expenses,1583,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Interest + similar expenses,1583,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Interest + similar expenses,1583,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Interest + similar expenses,1583,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : IT: Market Intelligence Data,3284,
IMMO Investment Technologies S.à r.l. (LUX),OTHER ADMINISTRATIVE EXPENSES : IT: Market Intelligence Data,3284,
IMMO Investment Technologies España S.L (SPN),OTHER ADMINISTRATIVE EXPENSES : IT: Market Intelligence Data,3284,
IMMO Investment Technologies UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : IT: Market Intelligence Data,3284,
IMMO Digital Solutions India Private Limited (INR),OTHER ADMINISTRATIVE EXPENSES : IT: Market Intelligence Data,3284,
IMMO Property Owning Structure (Consolidation entity),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Carilux Investment S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Moonstone Holdings S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Matis Investment S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
"IMMO Central Portfolio Spain, S.L. (SPN)",OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
"IMMO IT Spain Portfolio, S.L. (SPN)",OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO IT SPAIN ELIMINATION,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO German Service GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO German Property GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO German Service II GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO German Property II GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Central Portfolio UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Matis Investment Elimination,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Matis Elimination(Moonstone),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Moonstone Elimination(carilux),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Investment Elimination,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Service Elimination entity,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Digital Solutions India Private Limited (INR),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Investment Technologies España S.L (SPN),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Services Companies (Consolidation entity),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Chandos Elimination,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Investment Technologies UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Capital Fund GP S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Investment Technologies S.à r.l. (LUX),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Fund (consolidation entity),OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
Capital fund Elimination,OTHER ADMINISTRATIVE EXPENSES : External Entertainment (100% Business) - Clients/Investors,3285,
IMMO Digital Solutions India Private Limited (INR),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
IMMO Investment Technologies S.à r.l. (LUX),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
IMMO Investment Technologies España S.L (SPN),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
IMMO Investment Technologies UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Bank custody fee,3572,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
RI Nord GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Arcangel Assets GmbH (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Rounding,3357,
Arcangel Assets GmbH (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
RI Nord GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Title register fee,3573,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Recurring valuation fee,3574,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Recurring valuation fee,3574,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Recurring valuation fee,3574,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Recurring valuation fee,3574,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Recurring valuation fee,3574,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Recurring valuation fee,3574,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
RI Nord GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Arcangel Assets GmbH (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Asset Management fee,3575,
Arcangel Assets GmbH (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
RI Nord GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : Development Management fee (Refurb fee),3576,
RI Nord GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Arcangel Assets GmbH (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Ruscha Residential GmbH (EUR) (IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Exporo Bestand 46 GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
RI Living GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
TIAA General Account Housing German Property GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
TIAA General Account Housing German Service GmbH (EUR),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Chandos Holdings UG ( IMMO managed),OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : Property expenses,3577,
IMMO Investment Technologies S.à r.l. (LUX),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Capital fund Elimination,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Services Companies (Consolidation entity),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Investment Technologies UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Chandos Holdings UG,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Arcangel Assets GmbH,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Ruscha Residential GmbH,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Chandos Elimination,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Investment Technologies España S.L (SPN),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Digital Solutions India Private Limited (INR),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Service Elimination entity,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Property Owning Structure (Consolidation entity),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Carilux Investment S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Moonstone Holdings S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Matis Investment S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
"IMMO Central Portfolio Spain, S.L. (SPN)",OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
"IMMO IT Spain Portfolio, S.L. (SPN)",OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO IT SPAIN ELIMINATION,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO German Service GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO German Property GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO German Service II GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO German Property II GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Central Portfolio UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Matis Investment Elimination,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Matis Elimination(Moonstone),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
Moonstone Elimination(carilux),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Investment Elimination,OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Fund (consolidation entity),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Capital Fund GP S.à r.l (LUX),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),OTHER ADMINISTRATIVE EXPENSES : Payroll Services,3286,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Artist social contribution / Künstlersozialabgabe,3578,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Disabled persons equalisation levy / Ausgleichsabgabe nach,3579,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Vehicle leasing / KFZ-Leasing,3580,
INSTA IMMO GmbH (GER),OTHER ADMINISTRATIVE EXPENSES : Car tax - Kfz Steuer,3581,
IMMO Investment Technologies UK Limited (UK),OTHER ADMINISTRATIVE EXPENSES : ESOP Trust,3594,
